Price,Close,High,Low,Open,Volume,MA7,MA30,MA200,Volatility
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,
Date,,,,,,,,,
2021-02-09,46481.10546875,48003.72265625,45166.9609375,46184.9921875,91809846886,,,,
2021-02-10,44918.18359375,47145.56640625,43881.15234375,46469.76171875,87301089896,,,,
2021-02-11,47909.33203125,48463.46875,44187.76171875,44898.7109375,81388911810,,,,
2021-02-12,47504.8515625,48745.734375,46424.9765625,47877.03515625,76555041196,,,,
2021-02-13,47105.515625,48047.74609375,46392.28125,47491.203125,70250456155,,,,
2021-02-14,48717.2890625,49487.640625,47114.5078125,47114.5078125,71248675228,,,,
2021-02-15,47945.05859375,48875.5703125,46347.4765625,48696.53515625,77069903166,47225.90513392857,,,
2021-02-16,49199.87109375,50341.1015625,47201.3046875,47944.45703125,77049582886,47614.30022321428,,,
2021-02-17,52149.0078125,52533.9140625,49072.37890625,49207.27734375,80820545404,48647.275111607145,,,
2021-02-18,51679.796875,52474.10546875,51015.765625,52140.97265625,52054723579,49185.91294642857,,,
2021-02-19,55888.1328125,56113.65234375,50937.27734375,51675.98046875,63495496918,50383.52455357143,,,
2021-02-20,56099.51953125,57505.2265625,54626.55859375,55887.3359375,68145460026,51668.38225446428,,,
2021-02-21,57539.9453125,58330.5703125,55672.609375,56068.56640625,51897585191,52928.76171875,,,
2021-02-22,54207.3203125,57533.390625,48967.56640625,57532.73828125,92052420332,53823.37053571428,,,
2021-02-23,48824.42578125,54204.9296875,45290.58984375,54204.9296875,106102492824,53769.73549107143,,,
2021-02-24,49705.33203125,51290.13671875,47213.5,48835.0859375,63695521388,53420.638950892855,,,
2021-02-25,47093.8515625,51948.96875,47093.8515625,49709.08203125,54506565949,52765.50390625,,,
2021-02-26,46339.76171875,48370.78515625,44454.84375,47180.46484375,350967941479,51401.450892857145,,,
2021-02-27,46188.453125,48253.26953125,45269.02734375,46344.7734375,45910946382,49985.584263392855,,,
2021-02-28,45137.76953125,46716.4296875,43241.6171875,46194.015625,53443887451,48213.84486607143,,,
2021-03-01,49631.2421875,49784.015625,45115.09375,45159.50390625,53891300112,47560.119419642855,,,
2021-03-02,48378.98828125,50127.51171875,47228.84375,49612.10546875,47530897720,47496.48549107143,,,
